momentum_lookback,momentum_skip,mean_rev_lookback,weight_momentum,weight_mean_rev,ann_return,sharpe,max_drawdown,avg_turnover
126,0,3,1.0,0.0,0.15817311584312943,1.5236959949144595,-0.09757932656306256,0.7574074074074074
126,0,10,1.0,0.0,0.15817311584312943,1.5236959949144595,-0.09757932656306256,0.7574074074074074
126,0,5,1.0,0.0,0.15817311584312943,1.5236959949144595,-0.09757932656306256,0.7574074074074074
189,21,5,1.0,0.0,0.1215916278732887,1.1526857274800522,-0.13200607961328162,0.6294117647058823
189,21,3,1.0,0.0,0.1215916278732887,1.1526857274800522,-0.13200607961328162,0.6294117647058823
189,21,10,1.0,0.0,0.1215916278732887,1.1526857274800522,-0.13200607961328162,0.6294117647058823
252,0,3,1.0,0.0,0.09395018179191994,0.9138715256349386,-0.09519509738669563,0.5583333333333333
252,0,10,1.0,0.0,0.09395018179191994,0.9138715256349386,-0.09519509738669563,0.5583333333333333
252,0,5,1.0,0.0,0.09395018179191994,0.9138715256349386,-0.09519509738669563,0.5583333333333333
189,0,3,1.0,0.0,0.09752878580867663,0.9112952644441223,-0.11010330903078813,0.6294117647058823
189,0,10,1.0,0.0,0.09752878580867663,0.9112952644441223,-0.11010330903078813,0.6294117647058823
189,0,5,1.0,0.0,0.09752878580867663,0.9112952644441223,-0.11010330903078813,0.6294117647058823
252,21,5,1.0,0.0,0.08675810895889202,0.8340425913383848,-0.13430212038743125,0.6125
252,21,10,1.0,0.0,0.08675810895889202,0.8340425913383848,-0.13430212038743125,0.6125
252,21,3,1.0,0.0,0.08675810895889202,0.8340425913383848,-0.13430212038743125,0.6125
126,21,5,1.0,0.0,0.07730305697456652,0.7429236057103191,-0.15016383052356305,0.8351851851851855
126,21,10,1.0,0.0,0.07730305697456652,0.7429236057103191,-0.15016383052356305,0.8351851851851855
126,21,3,1.0,0.0,0.07730305697456652,0.7429236057103191,-0.15016383052356305,0.8351851851851855
126,10,5,1.0,0.0,0.057848305926934795,0.5616992193573488,-0.17516884118966172,0.8148148148148148
126,10,3,1.0,0.0,0.057848305926934795,0.5616992193573488,-0.17516884118966172,0.8148148148148148
126,10,10,1.0,0.0,0.057848305926934795,0.5616992193573488,-0.17516884118966172,0.8148148148148148
252,10,10,1.0,0.0,0.057738477170508284,0.5614769447394353,-0.17491041679297145,0.5520833333333334
252,10,5,1.0,0.0,0.057738477170508284,0.5614769447394353,-0.17491041679297145,0.5520833333333334
252,10,3,1.0,0.0,0.057738477170508284,0.5614769447394353,-0.17491041679297145,0.5520833333333334
189,10,3,1.0,0.0,0.05671864039536523,0.5312509073935282,-0.1408986026584871,0.6411764705882353
189,10,10,1.0,0.0,0.05671864039536523,0.5312509073935282,-0.1408986026584871,0.6411764705882353
189,10,5,1.0,0.0,0.05671864039536523,0.5312509073935282,-0.1408986026584871,0.6411764705882353
252,0,10,0.75,0.25,0.04461980251563613,0.43019908009226,-0.1923641168232783,0.7625000000000002
189,0,10,0.75,0.25,0.028025088475434057,0.26402570076022935,-0.17199346673036564,0.780392156862745
126,0,10,0.75,0.25,0.02332699632729307,0.2276033467746081,-0.18189030365580305,0.8759259259259259
252,21,3,0.75,0.25,0.015250271189482634,0.1415663544000437,-0.1769063986200849,0.9020833333333335
126,0,3,0.75,0.25,0.01126539165479934,0.10294763368081135,-0.18893847506211264,0.9185185185185184
252,21,5,0.75,0.25,0.007618828372202957,0.07323782070447735,-0.23390861182161876,0.9166666666666666
189,21,10,0.75,0.25,0.003916207273107597,0.036520523052869854,-0.18484311329206593,0.9960784313725493
126,0,5,0.75,0.25,0.0015295861098698627,0.014434474137035221,-0.19678991257297745,0.8870370370370372
189,0,5,0.75,0.25,-0.01726990127132233,-0.16111757495574502,-0.20287996046283488,0.792156862745098
252,0,5,0.75,0.25,-0.01778074559971632,-0.17058592216401422,-0.23232448940873132,0.7416666666666668
252,0,3,0.75,0.25,-0.020120207224648023,-0.1876451415956659,-0.2330230284824756,0.7770833333333335
252,10,10,0.75,0.25,-0.02046871346221424,-0.19774025768122336,-0.29063711360063577,0.9812500000000001
252,21,10,0.75,0.25,-0.021464435047625186,-0.20357166101966567,-0.2895508699197041,0.9875000000000002
126,10,5,0.75,0.25,-0.026194274871643275,-0.23897387068994186,-0.22485297724233447,1.07962962962963
189,0,3,0.75,0.25,-0.028943488579833865,-0.26807894987280606,-0.2063107521522812,0.8509803921568628
252,10,3,0.75,0.25,-0.03073564776312987,-0.28340276399696795,-0.2784550690363477,0.9020833333333332
126,10,3,0.75,0.25,-0.031354637242432926,-0.28437483688288984,-0.2948414776377447,1.0833333333333333
126,10,10,0.75,0.25,-0.03381374376571056,-0.3186575622686762,-0.25876308770220685,1.1462962962962966
126,21,10,0.75,0.25,-0.03975752197004789,-0.37708817153293567,-0.24998169858542743,1.164814814814815
189,21,5,0.75,0.25,-0.04125552320036785,-0.37874226285770296,-0.2324849061039532,0.9843137254901961
126,21,3,0.75,0.25,-0.047466530482063396,-0.42306384031853084,-0.2987316056143213,1.0962962962962965
252,10,5,0.75,0.25,-0.047830884518315075,-0.45006893907859846,-0.3177981515372361,0.9020833333333335
189,10,5,0.75,0.25,-0.05355717938054683,-0.5003746245482175,-0.2778114942055852,1.0
189,10,10,0.75,0.25,-0.05449424360493882,-0.5227509281781668,-0.29731845059913764,1.0137254901960784
189,10,3,0.75,0.25,-0.06750987828035981,-0.6151535930386254,-0.3117823627207793,0.9568627450980393
189,21,3,0.75,0.25,-0.07002735763473622,-0.6341735706965969,-0.32905068441336205,0.9333333333333333
126,21,5,0.75,0.25,-0.06951854353682707,-0.6426190605262665,-0.3350553160951104,1.0888888888888888
189,0,10,0.5,0.5,-0.07471679389538,-0.6852479050912746,-0.3473397418969816,1.3843137254901965
189,21,10,0.5,0.5,-0.09147088170845163,-0.8254085078646608,-0.3834222852877868,1.5117647058823531
252,21,10,0.5,0.5,-0.10243415980976156,-0.9125837131901561,-0.3725747033194049,1.4666666666666668
189,10,10,0.5,0.5,-0.10117654085026195,-0.9184052922577748,-0.4061973527045277,1.4921568627450978
126,0,10,0.5,0.5,-0.1121384219554753,-1.019062466761857,-0.4242794714864856,1.451851851851852
252,10,10,0.5,0.5,-0.11617482590630412,-1.0385452665135082,-0.4043988396502894,1.4833333333333334
252,0,10,0.5,0.5,-0.1145770151295924,-1.0394954229882674,-0.40533914663812165,1.4020833333333336
252,0,3,0.5,0.5,-0.13433461086044884,-1.0707653840374902,-0.49349557443556014,1.3854166666666667
189,0,3,0.5,0.5,-0.1416971286728781,-1.1579295473856646,-0.492558064318842,1.3784313725490196
126,10,10,0.5,0.5,-0.1304814909976949,-1.170247440493469,-0.47890905997306604,1.540740740740741
126,0,5,0.5,0.5,-0.1380034171411011,-1.199286828218167,-0.49693239490698043,1.4259259259259263
126,0,3,0.5,0.5,-0.15083119296058833,-1.2278213281760637,-0.5413295791072203,1.4277777777777776
252,0,5,0.5,0.5,-0.14516500641490981,-1.2318658535220393,-0.46530723402817703,1.3729166666666668
189,10,5,0.5,0.5,-0.15282570935040318,-1.276595534617714,-0.5131947695779885,1.4647058823529413
126,21,10,0.5,0.5,-0.14558279788127815,-1.2884745963852782,-0.5299062265497216,1.5611111111111113
252,10,3,0.5,0.5,-0.166013442051948,-1.3036432191037333,-0.5364029299145594,1.4166666666666667
252,21,3,0.5,0.5,-0.1665695865542679,-1.3092218841114593,-0.5366121884250246,1.4145833333333335
252,21,5,0.5,0.5,-0.16118116605221,-1.3423208277604115,-0.5020997035791596,1.4145833333333335
189,21,5,0.5,0.5,-0.15833337832374617,-1.3428800249879258,-0.5298044185758309,1.4450980392156862
189,10,3,0.5,0.5,-0.17501319501619506,-1.378785464115696,-0.5663108139606156,1.4882352941176475
189,0,5,0.5,0.5,-0.16203463712132338,-1.3850177674857829,-0.5360302086231858,1.4000000000000001
126,10,3,0.5,0.5,-0.17625037908205787,-1.408225483847817,-0.5857088093412566,1.4962962962962965
126,21,5,0.5,0.5,-0.16718190609012162,-1.4205292894259711,-0.567968897356833,1.533333333333333
126,21,3,0.5,0.5,-0.179752912067365,-1.423478006085557,-0.6129864195111067,1.511111111111111
126,10,5,0.5,0.5,-0.1700970192191087,-1.4681116752406205,-0.56857596554666,1.5222222222222226
252,10,5,0.5,0.5,-0.18017744685140613,-1.5025677478031287,-0.5521663817960549,1.4354166666666668
189,21,3,0.5,0.5,-0.19189935057520036,-1.5044494581337435,-0.5997552525108774,1.47843137254902
